EC 46.pdf timeline — 285 distinct documents
==================================================================================================================================
  #  DATE          DOC NO         NATURE                           SURVEY(S)                        EXTENT | CONSIDERATION
==================================================================================================================================
152  25-Jun-2008   4549/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
153  25-Jun-2008   4550/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
154  25-Jun-2008   5623/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
155  25-Jun-2008   5624/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
156  25-Jun-2008   5625/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
157  25-Jun-2008   5626/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
158  25-Jun-2008   5627/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
159  25-Jun-2008   5630/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
160  25-Jun-2008   5631/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
161  25-Jun-2008   5632/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
162  25-Jun-2008   5633/2008      உரிமை மாற்றம்                    N/A                              N/A
163  25-Jun-2008   5638/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
164  07-Jul-2008   6014/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
165  07-Jul-2008   6015/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
166  07-Jul-2008   6020/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
167  07-Jul-2008   6026/2008      உரிமை மாற்றம்                    N/A                              N/A
168  07-Jul-2008   6027/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
169  07-Jul-2008   6028/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
170  07-Jul-2008   6029/2008      உரிமை மாற்றம்                    N/A                              N/A
171  07-Jul-2008   6030/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
172  07-Jul-2008   6031/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
173  07-Jul-2008   6034/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
174  07-Jul-2008   6035/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
175  07-Jul-2008   6036/2008      உரிமை மாற்றம்                    N/A                              N/A
176  07-Jul-2008   6037/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
177  14-Jul-2008   6294/2008      உரிமை மாற்றம்                    N/A                              N/A
178  14-Jul-2008   6289/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
179  14-Jul-2008   6290/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
180  14-Jul-2008   6291/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
181  14-Jul-2008   6295/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
182  04-Aug-2008   6957/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
183  04-Aug-2008   6958/2008      உரிமை மாற்றம்                    N/A                              N/A
184  04-Aug-2008   6960/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
185  04-Aug-2008   6964/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
186  04-Aug-2008   6965/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
187  20-Aug-2008   7395/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
188  20-Aug-2008   7396/2008      உரிமை மாற்றம்                    N/A                              N/A
189  20-Aug-2008   7400/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
190  20-Aug-2008   7401/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
191  20-Aug-2008   7405/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
192  20-Aug-2008   7411/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
193  29-Aug-2008   7734/2008      உரிமை மாற்றம்                    N/A                              N/A
194  29-Aug-2008   8709/2008      உரிமை மாற்றம்                    46/1B                            1200 ச அடி | 26,400/-
195  29-Aug-2008   8920/2008      உரிமை மாற்றம்                    46/1C                            1200 ச அடி | 26,400/-
196  05-Sep-2008   7966/2008      உரிமை மாற்றம்                    N/A                              1200 சதுரடி | 26,400/-
